,A,AAP,ABBV,ABMD,ABT,ACN,ADBE,AES,AFL,AKAM,AMD,AMG,APD,ATVI,MMM
A,0.000163377655611143,2.3947554477467544e-05,6.829626342151858e-05,0.00010490872372421281,8.446788795118826e-05,6.33289302491309e-05,9.32907218186332e-05,6.193510037037985e-05,4.2921651012075355e-05,9.545403193578183e-05,0.00012285100946881407,0.00011898790655025646,6.509080169699632e-05,8.919080089526775e-05,4.655135784616532e-05
AAP,2.3947554477467544e-05,0.00045452677311271373,2.554678890041637e-05,4.062791795655669e-05,4.624699676094523e-05,3.274000609901747e-05,7.101565581927813e-06,4.575938671678401e-05,3.611814984821429e-05,4.1803385078551605e-05,-6.127419411961473e-06,8.015044697377503e-05,4.967618723247431e-05,2.97323777474721e-05,1.7645382335956126e-05
ABBV,6.829626342151858e-05,2.554678890041637e-05,0.0002084589336505562,7.365504415466727e-05,7.435079333559059e-05,3.0166434559270637e-05,5.4873983527350485e-05,2.1353339250772958e-05,2.8800735821937207e-05,4.668878781923433e-05,5.7738107880819006e-05,6.934318359181072e-05,2.998857832710242e-05,5.015410671922634e-05,2.431974035960612e-05
ABMD,0.00010490872372421281,4.062791795655669e-05,7.365504415466727e-05,0.000372673324115661,7.813518161326257e-05,7.86738349501565e-05,0.00011590699399175201,4.943505916455966e-05,3.1678474950836036e-05,0.00010131631066320388,0.00014706916609980738,0.00010996959830745817,6.295317516707341e-05,0.00011716461248143324,3.0650664449944806e-05
ABT,8.446788795118826e-05,4.624699676094523e-05,7.435079333559059e-05,7.813518161326257e-05,0.00015084876556954358,4.8303381379617375e-05,6.425472584283389e-05,4.54438915555442e-05,3.2498347336421255e-05,9.084446555353424e-05,0.0001074695389927752,0.00010198234239663496,4.789769909188073e-05,6.70741353307922e-05,3.346463774668587e-05
ACN,6.33289302491309e-05,3.274000609901747e-05,3.0166434559270637e-05,7.86738349501565e-05,4.8303381379617375e-05,0.0001224984776698377,7.253675398835265e-05,5.084741463403214e-05,3.712774042671963e-05,8.050965515923951e-05,8.584934497222419e-05,8.983284659974588e-05,5.3231319664663195e-05,7.441704629027409e-05,3.489168741209404e-05
ADBE,9.32907218186332e-05,7.101565581927813e-06,5.4873983527350485e-05,0.00011590699399175201,6.425472584283389e-05,7.253675398835265e-05,0.0002141629658120228,7.146896927472654e-05,3.4391391190519454e-05,9.981202250730167e-05,0.00015317736834739143,9.056856096989702e-05,5.383285635122735e-05,0.00013605803263544718,4.020663217851147e-05
AES,6.193510037037985e-05,4.575938671678401e-05,2.1353339250772958e-05,4.943505916455966e-05,4.54438915555442e-05,5.084741463403214e-05,7.146896927472654e-05,0.00025899975335824633,4.150231543366925e-05,8.127669382756558e-05,0.00010731925724322425,8.757894998528841e-05,6.216900372855652e-05,6.098857851996255e-05,4.62666501681165e-05
AFL,4.2921651012075355e-05,3.611814984821429e-05,2.8800735821937207e-05,3.1678474950836036e-05,3.2498347336421255e-05,3.712774042671963e-05,3.4391391190519454e-05,4.150231543366925e-05,7.711500115958895e-05,4.300032091567058e-05,4.069748558337158e-05,8.336792483290622e-05,4.277637118661422e-05,2.450007325726374e-05,3.368753064660753e-05
AKAM,9.545403193578183e-05,4.1803385078551605e-05,4.668878781923433e-05,0.00010131631066320388,9.084446555353424e-05,8.050965515923951e-05,9.981202250730167e-05,8.127669382756558e-05,4.300032091567058e-05,0.0005580088837987537,0.00011806980333703498,0.00012932248203606245,5.96499306365049e-05,0.00010495348075953496,3.79935101522584e-05
AMD,0.00012285100946881407,-6.127419411961473e-06,5.7738107880819006e-05,0.00014706916609980738,0.0001074695389927752,8.584934497222419e-05,0.00015317736834739143,0.00010731925724322425,4.069748558337158e-05,0.00011806980333703498,0.0021248775382891145,0.0002072246212258005,6.112807724522049e-05,0.0001619481466141865,3.620134083719303e-05
AMG,0.00011898790655025646,8.015044697377503e-05,6.934318359181072e-05,0.00010996959830745817,0.00010198234239663496,8.983284659974588e-05,9.056856096989702e-05,8.757894998528841e-05,8.336792483290622e-05,0.00012932248203606245,0.0002072246212258005,0.00032595958234651814,9.104013362002728e-05,9.012960046606388e-05,5.8831287928105525e-05
APD,6.509080169699632e-05,4.967618723247431e-05,2.998857832710242e-05,6.295317516707341e-05,4.789769909188073e-05,5.3231319664663195e-05,5.383285635122735e-05,6.216900372855652e-05,4.277637118661422e-05,5.96499306365049e-05,6.112807724522049e-05,9.104013362002728e-05,0.00011714606861151073,5.03520051706431e-05,3.8635539446891737e-05
ATVI,8.919080089526775e-05,2.97323777474721e-05,5.015410671922634e-05,0.00011716461248143324,6.70741353307922e-05,7.441704629027409e-05,0.00013605803263544718,6.098857851996255e-05,2.450007325726374e-05,0.00010495348075953496,0.0001619481466141865,9.012960046606388e-05,5.03520051706431e-05,0.00037969339513391366,3.799423343885521e-05
MMM,4.655135784616532e-05,1.7645382335956126e-05,2.431974035960612e-05,3.0650664449944806e-05,3.346463774668587e-05,3.489168741209404e-05,4.020663217851147e-05,4.62666501681165e-05,3.368753064660753e-05,3.79935101522584e-05,3.620134083719303e-05,5.8831287928105525e-05,3.8635539446891737e-05,3.799423343885521e-05,7.128321886141523e-05
